Date      ,Type,Coin,Qty      ,Category   ,Subcategory,Description
2025-11-01,Hype,EUR ,+2119    ,Employement,Salary     ,Monthly salary
2025-11-05,BBVA,EUR ,-90.80   ,Groceries  ,Diet       ,Weekly groceries
2025-11-12,BBVA,EUR ,-94.20   ,Groceries  ,Diet       ,Weekly groceries
2025-11-19,BBVA,EUR ,-87.60   ,Groceries  ,Diet       ,Weekly groceries
2025-11-26,BBVA,EUR ,-96.40   ,Groceries  ,Diet       ,Weekly groceries
2025-11-07,Revolut,EUR,-25.00 ,Leisure    ,Food       ,Lunch
2025-11-14,Revolut,EUR,-38.00 ,Leisure    ,Restaurant ,Dinner
2025-11-21,Revolut,EUR,-20.00 ,Leisure    ,Coffee     ,Coffee
2025-11-28,Revolut,EUR,-50.00 ,Leisure    ,Events     ,Concert
2025-11-09,Hype,EUR ,-120.00  ,Shop       ,Clothes    ,Winter clothes
2025-11-16,Hype,EUR ,-85.00   ,Bills      ,Electricity,Electricity bill
2025-11-23,Hype,EUR ,-20.00   ,Transport  ,Train      ,Train ticket

